Sector,Sub Sector,Project Name,View Profile,Total Project Cost
"Rubber, Chemical and Petrochemical",Chemicals,Aerosol,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Aerosol.pdf,2256000
"Rubber, Chemical and Petrochemical",Chemicals,Agarbatti,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Agarbatti.pdf,757000
Logistics,Packaging Materials,Air Bubble Sheet,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirBubbleSheet.pdf,6606000
Electronics,Cooling Systems,AIR CONDITIONER (SPLIT TYPES),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON AIR CONDITIONER (SPLIT TYPES).pdf,1016000
Electronics,Air Filtration,Air Filter,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirFilter.pdf,2580000
Automotive,Suspension Systems,Air Springs,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirSprings.pdf,2407000
Life Sciences,Protective Equipment,Air-Pollution Mask,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirPollutionMask.pdf,2500000
"Rubber, Chemical and Petrochemical",Resin Manufacturing,Alkyd Resin,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlkydResin.pdf,3665000
Beauty & Wellness,Skin Care,All Purpose cream,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AllPurposecream.pdf,1495000
Iron and Steel,Fasteners,Allen Screws,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AllenScrews.pdf,2315000
Beauty & Wellness,Skin Care,Almond Cream,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlmondCream.pdf,1701000
Beauty & Wellness,Skin Care,ALOE VERA GEL ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON  ALOE VERA GEL.pdf,1860000
Food Processing,Dietary Supplements,Aloevera Juice,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AloeveraJuice.pdf,2656000
Beauty & Wellness,Skin Care,Alovera Gel mfg.,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AloveraGelmfg.pdf,2483000
