Sector,Sub Sector,Project Name,View Profile
Other Sectors,Fabric,LPG COOKING RANGE (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf
Automotive,Fabric,LPG COOKING RANGE (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf
Electronics,Electrical Engineering,LT Control Panel,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LTControlPanel.pdf
Automotive,Parts,lubricant spray,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/lubricantspray.pdf
Logistics,Transportation Equipment,LUGGAGE CARRIERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LUGGAGE CARRIERS.pdf
HealthCare,Clinic/Laboratory,M/S Advanced Diagnostic Centre,/srv/YouthMissionMobile/DPR/ADVANCED__DIAGNOSTIC__CENTRE__15__LACS.pdf
Retail,Store,M/S AIMS COLLECTION,/srv/YouthMissionMobile/DPR/AIMS__COLLECTION__READYMADE__GARMENTS____EDI__9__LACS__SGR__REVISED.pdf
Other Sectors,Car Washing & Repairing,M/S Bismillah Service and Repairing,/srv/YouthMissionMobile/DPR/Car__washing__and__Repairing__8__lac.pdf
Retail,Store,M/S Book House,/srv/YouthMissionMobile/DPR/BOOK__HOUSE__EDI____9.00__LACS__EDI__JMU__PRINTABLE__VERISION.pdf
Agriculture,Service of Cold Storage Works,M/S CHAHAL AGRO FARMING,/srv/YouthMissionMobile/DPR/Chahal_Agro_Farming.pdf
Other Sectors,Household Chemicals,M/S Classic Manufacturing Unit,/srv/YouthMissionMobile/DPR/CLASSIC__MFR__UNIT__EDI__8.57__LACS__SGR__DETERGENT.pdf
Handicrafts and Carpet,Handicrafts,M/s Crafty Glow Embroidery (Kashmiri Art),/srv/YouthMissionMobile/DPR/Embroidery__Tilla__Work.pdf
"Apparel, Made-Ups & Home Furnishing",Boutique,M/S Fancy Boutique,/srv/YouthMissionMobile/DPR/FANCY__BOUTIQUE____EDI____15__LACS__SGR.pdf
Other Sectors,Packaging Manufacturing,M/S Greenway Enterprises,/srv/YouthMissionMobile/DPR/GREENWAY__ENTERPRISES__REVISED__EDI____115__LACS__SGR.pdf
Agriculture,Beekeeping,M/S Honey Bee Kepping,/srv/YouthMissionMobile/DPR/Honey__Bee.pdf
Food Processing,Flour,M/S JK Roller Flour Mills,/srv/YouthMissionMobile/DPR/J__K__Roller__Flour__mills.pdf
Other Sectors,Jewelry,M/S Luxury Gems and Jewels,/srv/YouthMissionMobile/DPR/LUXURY__GEMS__AND__JEWELS__20__LACS__EDI__SGR__JV__(1).pdf
"Apparel, Made-Ups & Home Furnishing",Apparel,M/S M.F. READY MADE GARMENTS,/srv/YouthMissionMobile/DPR/M.F.__READY__MADE__GARMENTS__MANUFACTURE__EDI__9__LACS.pdf
Retail,Store,M/S M.Y. Traders,/srv/YouthMissionMobile/DPR/M__Y__TRADERS__EDI__9__LACS__SGR.pdf
Construction,Building Materials,M/S MAHADEV BATCHING PLANT,/srv/YouthMissionMobile/DPR/Mahadev__Batching__Plant.pdf
Retail,Electronics,M/S MEHRAJ ELECTRONICS,/srv/YouthMissionMobile/DPR/MEHRAJ__ELECTRONICS__(H.A)__EDI__8.57__LACS__SGR.pdf
Retail,Store,M/S MIR KIRYANA,/srv/YouthMissionMobile/DPR/MIR__KIRYANA____9__LACS__EDI__SGR.pdf
Construction,Building Materials,M/S Modern Mixer Shuttering,/srv/YouthMissionMobile/DPR/MODERN__MIXER__SHUTTERING__HOUSE____EDI____18__LACS__SGR.pdf
Agriculture,Poultry,M/S MOHAMMADIA GROUP OF AGRI FARMS,/srv/YouthMissionMobile/DPR/MOHAMMADIA__GROUP__OF__AGRI__FARMS____10__LACS__EDI__SGR.pdf
"Apparel, Made-Ups & Home Furnishing",Boutique,M/s NN Cutting & Tailoring,/srv/YouthMissionMobile/DPR/Boutique__2__lak.pdf
Agriculture,Livestock Farming,M/S NOOR DAIRY FARM,/srv/YouthMissionMobile/DPR/Noor__Dairy__Farm.pdf
Construction,Building Materials,M/S Noor Enterprises,/srv/YouthMissionMobile/DPR/NOOR__ENTERPRISES__EDI__9.00__LACS__SGR.pdf
Other Sectors,Education,M/S PLAY KASHMIR,/srv/YouthMissionMobile/DPR/PLAY__KASHMIR__(PREPORATORY__SCHOOL)__EDI__15__LACS__(REVISED)__SGR.pdf
Retail,Store,M/S ROUSE INDIA,/srv/YouthMissionMobile/DPR/ROUSE__INDIA__PAINT__AND__HARDWARE__15__LACS__EDI__SGR.pdf
Agriculture,Dairy Farming,M/s Sharma Dairy Farm,/srv/YouthMissionMobile/DPR/Dairy_Farming1.pdf
Retail,Store,M/S SOLIHA CLOTH STORE,/srv/YouthMissionMobile/DPR/SOLIHA__CLOTH__STORE__EDI__8.57__LACS__SGR.pdf
Food Processing,Biscuit Making,M/S The Bakers Day,/srv/YouthMissionMobile/DPR/THE__BAKERS__DAY__EDI__15__LACS__SGR.pdf
Retail,Store,M/S VIEW POINT MOBILE SALE AND SERVICE,/srv/YouthMissionMobile/DPR/VIEW__POINT__MOBILE__SALE__AND__SERVICE__edi__8.57__LACS__(1).pdf
Retail,Store,M/S WAVE,/srv/YouthMissionMobile/DPR/WAVE__FOOTWARE__DISTRIBUTION____15__LACS__EDI__SGR.pdf
Other Sectors,Packaging Manufacturing,M/S Zum Zum Pack,/srv/YouthMissionMobile/DPR/ZUM__ZUM__PACK__EDI__30__LACS__SGR__REVISED.pdf
Agriculture,Beekeeping,M/S.U.S Honey Collection,/srv/YouthMissionMobile/DPR/Bee-Keeping.pdf
Agriculture,Livestock Farming,M/SWMNOP Mule Services,/srv/YouthMissionMobile/DPR/Mule__Farm__updated.pdf
Food Processing,Fruit Processing,Macroni,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Macroni.pdf
"Apparel, Made-Ups & Home Furnishing",Textile Manufacturing,Made Ups,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Madeups.pdf
Life Sciences,Excipients,Magnesium Stearate,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumStearate.pdf
Life Sciences,Excipients,Magnesium Sulphate,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumSulphate.pdf
Food Processing,Jam & Jelly Manufacturing,Mahua Flower Jam Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MahuaFlowerJamUnit.pdf
Food Processing,Cereal Manufacturing,MAIZE FLAKES (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MAIZE FLAKES.pdf
Food Processing,Snack Manufacturing,Makhana Snacks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MakhanaSnacks.pdf
Food Processing,Fruit Processing,MANGO JELLY/AAM PAPAD (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MANGO JELLYAAM PAPAD.pdf
Food Processing,Ayurvedic Products,"MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â )","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP.pdf"
Food Processing,Ayurvedic Products,MANUFACTURE OF AYURVEDIC CAPSULE (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CAPSULE.pdf
Food Processing,Ayurvedic Products,MANUFACTURE OF AYURVEDIC TABLETS (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC TABLETS.pdf
Construction,Building Materials,"Manufacture of Cement Concrete Hollow, Solid Blocks, Tiles & Interlock Pavers","/srv/YouthMissionMobile/DPR/Hollow__blocks,__Tiles__manufacturing__(__Javaid__Ah__Tantray).pdf"
Food Processing,Ayurvedic Products,MANUFACTURE OF MEDICATED GHEE (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED GHEE.pdf
Food Processing,Ayurvedic Products,MANUFACTURE OF MEDICATED OIL (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED OIL.pdf
Other Sectors,Stationery Manufacturing,MANUFACTURE OF SAFETY PINS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF SAFETY PINS.pdf
Other Sectors,Packaging Manufacturing,Manufacturing & Printing of Non Woven Bags.,/srv/YouthMissionMobile/DPR/Manufacturing__&__Printing__of__Non__Woven__Bags.pdf
Strategic Manufacturing,Cleaning Products,MANUFACTURING OF DETERGENT POWDER & CAKE (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF DETERGENT POWDER & CAKE.pdf
Automotive,Hair Care,MANUFACTURING OF HAIR OIL (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF HAIR OIL.pdf
Other Sectors,Construction Materials,Manufacturing of Hollow blocks,/srv/YouthMissionMobile/DPR/Manufacturing__of__Hollow__Blocks.pdf
Food Processing,Ayurvedic Products,MANUFACTURING OF JAVADHU POWDER (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF JAVADHU POWDER.pdf
Automotive,Cosmetics Manufacturing,MANUFACTURING OF MEHANDI (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF MEHANDI.pdf
Automotive,Cosmetics Manufacturing,MANUFACTURING OF NAIL POLISH (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF NAIL POLISH.pdf
Other Sectors,Paper Products,Manufacturing of Notebooks,/srv/YouthMissionMobile/DPR/Notebook__Manu__20Lac.pdf
Other Sectors,Apparel,Manufacturing of Outer wear Garments,/srv/YouthMissionMobile/DPR/Mfc__of__Garments.pdf
Other Sectors,Apparel,Manufacturing of Outer Wear Garments.,/srv/YouthMissionMobile/DPR/Manufacturing__of__Garments.pdf
Other Sectors,Paper Products,MANUFACTURING OF PAPER NAPKINS,/srv/YouthMissionMobile/DPR/Manufacturing__of__Paper__Napkins.pdf
Other Sectors,Metalworking,Manufacturing of Wire Nails,/srv/YouthMissionMobile/DPR/Manufacturing__of__Wire__Nails.pdf
Automotive,Cosmetics Manufacturing,MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying) (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying).pdf
Automotive,Handicrafts,Marble Inlay Sculpture_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MarbleInlaySculptureDPR.pdf
Food Processing,Spice Processing,MASALA MAKING UNIT (MEDIUM) (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MASALA MAKING UNIT (MEDIUM).pdf
Food Processing,Beverage Manufacturing,Masala Tea Final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MasalaTeaFinal.pdf
Other Sectors,Cosmetics,massage oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/massageoil.pdf
Other Sectors,Matches Manufacturing,Matchbox Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MatchboxProject.pdf
Food Processing,Condiments Manufacturing,Mayonnaise,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Mayonnaise.pdf
Food Processing,Ayurvedic Products,Medicated Ghee,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MedicatedGhee.pdf
Food Processing,Pharmaceuticals,Medicinal tablets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Medicinaltablets.pdf
Agriculture,Beekeeping,MEDIUM SCALE APIARY UNIT (30 Bee Colonies of Apis cerana) (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MEDIUM SCALE APIARY UNIT (30 Bee Colonies of Apis cerana).pdf
Agriculture,Beekeeping,MEDIUM SCALE APIARY UNIT (30 Bee Colonies of Apis Mellafera) (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MEDIUM SCALE APIARY UNIT.pdf
Strategic Manufacturing,Kitchenware,Melamine Crockery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MelamineCrockery.pdf
Automotive,Personal Care,Menthol crystal Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MentholcrystalUnit.pdf
Automotive,Metalworking,Metal Craft_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MetalCraftDPR.pdf
Iron and Steel,Metal Recycling,Metal Recycling_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MetalRecyclingDPR.pdf
Other Sectors,Electronics,mica paper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/micapaper.pdf
Food Processing,Confectionery,Milk Chocolate,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MilkChocolate.pdf
Food Processing,Dairy Products,Milk Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MilkPowder.pdf
Food Processing,Cereal Processing,Millet based food Products,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MilletbasedfoodProducts.pdf
Other Sectors,Mineral Processing,MINERAL GRINDING (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MINERAL GRINDING.pdf
Food Processing,Snack Manufacturing,Mini Neem Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MiniNeemOil.pdf
Food Processing,Rice Processing,Mini Rice Mill,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MiniRiceMill.pdf
Other Sectors,Textile Machinery,Mini Tufting unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MiniTuftingunit.pdf
"Apparel, Made-Ups & Home Furnishing",Boutique,Miss. Shaista Gull,/srv/YouthMissionMobile/DPR/Boutique__(Mfg__of__RMG's)__Shaista__Gull.pdf
Construction,Building Materials,"Mixer,Shuttering & Building Material",/srv/YouthMissionMobile/DPR/Mixer__Shuttering__and__cement__store__20Lac.pdf
Food Processing,Pickle Manufacturing,Mizo Chilli Pickle,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MizoChilliPickle.pdf
IT-ITeS,App Development,Mobile App development,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MobileAppdevelopment.pdf
Electronics,Accessories,Mobile Charger Final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MobileChargerFinal.pdf
Electronics,Accessories,Mobile Cover,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MobileCover.pdf
Electronics,Accessories,Mobile Phone Stand,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MobilePhoneStand.pdf
Other Sectors,Mobile Sale and Services,Mobile Sale and Services,/srv/YouthMissionMobile/DPR/Mobile__Sale__and__Services.pdf
Other Sectors,Stationery Manufacturing,MODEL PROJECT PROFILE ON BALL PEN REFFILS (PCBI) (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MODEL PROJECT PROFILE ON BALL PEN REFFILS (PCBI).pdf
Other Sectors,Packaging Manufacturing,MODEL PROJECT PROFILE ON PLASTIC BOTTLE (PCBI) (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MODEL PROJECT PROFILE ON PLASTIC BOTTLE (PCBI).pdf
Handicrafts and Carpet,Lighting,Modern Wall Light,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ModernWallLight.pdf
Automotive,Essential Oils,Mogra oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Mograoil.pdf
Food Processing,Ice Cream Manufacturing,MOHD IQBAL TANTRAY,/srv/YouthMissionMobile/DPR/Manufacturing__of__Ice__creams(__Mohd__Iqbal__Tantray).pdf
Handicrafts and Carpet,Decorative Items,Monj Decorative Items,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MonjDecorativeItems.pdf
Handicrafts and Carpet,Bags & Baskets,Moonj baskets & Bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Moonjbaskets&Bags.pdf
Strategic Manufacturing,Pest Control,Mosquito Liquid Repellent,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MosquitoLiquidRepellent.pdf
Strategic Manufacturing,Pest Control,Mosquito Net,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MosquitoNet.pdf
Strategic Manufacturing,Pest Control,Mosquito Racket,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MosquitoRacket.pdf
Electronics,Electrical Engineering,Motor Starter Panel,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MotorStarterPanel.pdf
Other Sectors,Electronics Services,MOTOR WINDING (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MOTOR WINDING.pdf
Strategic Manufacturing,Kitchenware,Moulded Plastic Lunch Box,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MouldedPlasticLunchBox.pdf
Electronics,Accessories,Mouse Pad,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MousePad.pdf
Food Processing,Mouth Freshener,Mouth Freshner,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MouthFreshner.pdf
Other Sectors,Footwear,Mr. JOHN MOHAMMAD MIR,/srv/YouthMissionMobile/DPR/Slippers__chappal__manufacturing__unit.pdf
Other Sectors,Gym/Fitness Centre,MR. Nasir Ahmad Naseem,/srv/YouthMissionMobile/DPR/Gym__centre__Nasir__Ah__Naseem.pdf
Other Sectors,Automobile Workshop,MR. NAWAZ AHMAD ITOO,/srv/YouthMissionMobile/DPR/Automobile__workshop__(Nawaz__Ah.__Itoo).pdf
HealthCare,Clinic/Laboratory,MR. RIZWAN AHMAD BHAT,/srv/YouthMissionMobile/DPR/Clinical__Laboratory__unit__(__Rizwan__Ah.__Bhat).pdf
Food Processing,Beverage Manufacturing,MR. TAWFEEQ AHMAD SHEIKH,/srv/YouthMissionMobile/DPR/Blending__&__packaging__of__tea.pdf
Food Processing,Bakery,Muffins,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Muffins.pdf
Automotive,Skincare,Multani Mud,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MultaniMud.pdf
Food Processing,Beverage,Multi Fruit Juice & Squash,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MultiFruitJuiceSquash.pdf
Food Processing,Pasta,Multigrain Pasta,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MultigrainPasta.pdf
Electronics,Internet Services,MULTIPURPOSE COMPUTER CENTRE/CYBER CAFÃƒÆ’Ã¢â‚¬Â° (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MULTIPURPOSE COMPUTER CENTRECYBER CAFE.pdf
Food Processing,Snack Manufacturing,MURMURA MANUFACTURING UNIT (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MURMURA MANUFACTURING UNIT.pdf
Agriculture,Livestock Farming,Mushroom Cultivation,/srv/YouthMissionMobile/DPR/Mushroom__Farm.pdf
Other Sectors,Shellfish Processing,Mussels_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MusselsDPR.pdf
Food Processing,Oils,mustard oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/mustardoil.pdf
Automotive,Nail Care,Nail Paint Remover,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NailPaintRemover.pdf
Food Processing,Snacks,Namkeen,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Namkeen.pdf
Food Processing,Snacks,NAMKEEN/FARSAN MANUFACTURING SCHEME (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NAMKEENFARSAN MANUFACTURING SCHEME.pdf
Other Sectors,Pest Control,NAPHTHALENE BALLS (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON NAPHTHALENE BALLS.pdf
Strategic Manufacturing,Pest Control,Napthalene Balls,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NapthaleneBalls.pdf
Food Processing,Food Coloring,Natural Colour_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NaturalColourDPR.pdf
Food Processing,Beverage,NATURAL MINERAL WATER (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NATURAL MINERAL WATER.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,NECK-TIES & HANDKERCHIEFS (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON NECK-TIES & HANDKERCHIEFS.pdf
Food Processing,Beverage,NEERA CATERING UNIT (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NEERA CATERING UNIT.pdf
Logistics,Bags,Non Woven Bag,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NonWovenBag.pdf
Other Sectors,Food Processing,Noodles Manufacturing,/srv/YouthMissionMobile/DPR/Noodles__Manufacturing.pdf
Food Processing,Noodles,NOODLES MANUFACTURING UNIT (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NOODLES MANUFACTURING UNIT.pdf
Other Sectors,Notebooks,Notebook,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Notebook.pdf
Other Sectors,Bookbinding,Notebook Binding,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NotebookBinding.pdf
Food Processing,Spice,Nutmeg,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Nutmeg.pdf
Other Sectors,Offset Printing,Offset Printing unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/OffsetPrintingunit.pdf
"Rubber, Chemical and Petrochemical",Oil Processing,OIL CRUSHER / EXPELLER (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON OIL CRUSHER  EXPELLER.pdf
Automotive,Automotive Parts,Oil Filter,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/OilFilter.pdf
Food Processing,Paste,ONION PASTE MANUFACTURING SCHEME (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ONION PASTE MANUFACTURING SCHEME.pdf
HealthCare,Optical Lens,OPHTHALMIC LENS GRINDING (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON OPHTHALMIC LENS GRINDING.pdf
Food Processing,Organic Food,ORGANIC FOOD (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ORGANIC FOOD.pdf
Agriculture,Organic Farming,Organic waste compost,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Organicwastecompost.pdf
