"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
63,"Construction","Assistant Surveyor - Hindi","Free","5:54 hours","Any","Any","NA","Hindi","Assistant Surveyor is responsible for providing support in various surveying activities undertaken on site before and during construction works. Key Responsibilities include assisting the lead surveyor, which includes carrying equipment, drawing sketches of buildings, recording information etc","https://www.skillindiadigital.gov.in/courses/detail/8ceb1457-aa94-4dac-9896-8cf53030a87d",null,null,null,null,null,null,null,null,null
64,"Food Industry Capacity and Skill Initiative","Plant Base Proteins - Hindi","Paid, Rs.200","00:33 hours","Min 18","12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate","NA","Hindi","This course encompasses National Occupational Standards (NOS) of 'Food Technologist - Plant based proteins' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). After completing the course the learner gets the knowledge of Plant-Based Protein Sources. Students will develop a comprehensive understanding of different plant-based protein sources, such as legumes (e.g., beans, lentils), whole grains, nuts, seeds, soy products, and various vegetables. They should be able to identify and differentiate between different types of plant proteins and understand their nutritional profiles.","https://www.skillindiadigital.gov.in/courses/detail/74a3492f-7671-4111-bb4e-6b0f69fbcdf3",null,null,null,null,null,null,null,null,null
65,"IT-ITeS","Startup errors in Application by using the Kudu console","Free","00:37 hours","18+","12th Pass, ITI, Diploma","administrator,developer","English","This module explains how to use the Kudu console and the Azure portal to examine the application event log to identify the event that caused an error.","https://www.skillindiadigital.gov.in/courses/detail/eb80c96c-166c-4d67-a42c-8d9ddd232a35",null,null,null,null,null,null,null,null,null
66,"IT-ITeS","Services on the Microsoft Intelligent Data Platform","Free","00:58 hours","18+","12th Pass, ITI, Diploma","data-engineer,azure,azure-storage","English","Explore the broad array of Azure technologies that analyze text or images and relational, nonrelational, or streaming data.","https://www.skillindiadigital.gov.in/courses/detail/162000bc-01ec-417f-a65a-631942f4d98e",null,null,null,null,null,null,null,null,null
67,"IT-ITeS","Query logs in Microsoft Sentinel","Free","00:18 hours","18+","12th Pass, ITI, Diploma","security-operations-analyst,azure,microsoft-sentinel,azure-log-analytics","English","As a Security Operations Analyst, you must understand the tables, fields, and data ingested in your workspace. Learn how to query the most used data tables in Microsoft Sentinel.","https://www.skillindiadigital.gov.in/courses/detail/9bd7e2be-e8c4-4d31-a3f0-e040df33093c",null,null,null,null,null,null,null,null,null
68,"IT-ITeS","Data Movement of Azure Cosmos DB for NoSQL","Free","00:52 hours","18+","12th Pass, ITI, Diploma","developer,azure-cosmos-db","English","Migrate data into and out of Azure Cosmos DB for NoSQL using Azure services and open-source solutions.","https://www.skillindiadigital.gov.in/courses/detail/40454810-bd46-4ff3-ac05-66a7db4f5de8",null,null,null,null,null,null,null,null,null
69,"IT-ITeS","Package Management","Free","01:14 hours","18+","12th Pass, ITI, Diploma","administrator,developer,devops-engineer,azure-artifacts,azure-boards","English","This module describes package feeds, common public package sources, and how to create and publish packages.","https://www.skillindiadigital.gov.in/courses/detail/7aa6b628-bd9b-4aea-bab0-9d83d96600f2",null,null,null,null,null,null,null,null,null
70,"IT-ITeS","OWASP and Dynamic Analyzers","Free","00:11 hours","Above 18","12th Pass, ITI, Diploma","devops-engineer,azure,azure-artifacts,azure-boards","English","OWASP and Dynamic Analyzers","https://www.skillindiadigital.gov.in/courses/detail/ab20a856-a2f0-48b0-991a-0165ba3ff5d6",null,null,null,null,null,null,null,null,null
71,"IT-ITeS","SQL Fundamentals","Free","08:00 hours","Above 18","12th Pass, ITI, Diploma","NA","English","Introduction to Databases
Managing Databases and Tables
Querying Table Data
Exporting and Importing Data","https://www.skillindiadigital.gov.in/courses/detail/2b69e1a7-50a0-4dc0-aea3-27c0c9452d4a",null,null,null,null,null,null,null,null,null
72,"IT-ITeS","Monitor Performance of Web Apps","Free","00:36 hours","18+","12th Pass, ITI, Diploma","developer,technology-manager,azure-monitor","English","Learn how to monitor your solution for performance and issues.","https://www.skillindiadigital.gov.in/courses/detail/85e029fd-ea37-4dc6-bc27-a8756426fc41",null,null,null,null,null,null,null,null,null
73,"IT-ITeS","Share Knowledge within MS-Teams","Free","01:01 hours","Above 18","12th Pass, ITI, Diploma","devops-engineer,azure,azure-artifacts,azure-boards","English","Share knowledge within teams","https://www.skillindiadigital.gov.in/courses/detail/7a636141-5e7a-49cd-9c25-b14e82ed904b",null,null,null,null,null,null,null,null,null
74,"IT-ITeS","Design Azure ExpressRoute","Free","01:18 hours","Above 18","12th Pass, ITI, Diploma","network-engineer,azure-express route,azure-virtual-network","English","You learn how to design and implement Azure ExpressRoute, ExpressRoute Global Reach, ExpressRoute FastPath.","https://www.skillindiadigital.gov.in/courses/detail/cf2a9fe7-e01f-4ba1-8e2b-4d5804da42ae",null,null,null,null,null,null,null,null,null
75,"IT-ITeS","Introduction to Audio Classification with TensorFlow","Free","00:48 hours","Above 18","12th Pass, ITI, Diploma","azure-machine-learning","English","Learn how to do audio classification with TensorFlow.","https://www.skillindiadigital.gov.in/courses/detail/52f2df27-e6bd-4c66-befc-325dae15a4ba",null,null,null,null,null,null,null,null,null
76,"IT-ITeS","Messaging in Azure to Connect Services","Free","00:45 hours","18+","12th Pass, ITI, Diploma","developer,solution-architect,azure,azure-service-bus,azure-event-grid","English","Learn how Azure storage queues, Event Hubs, Event Grid, and service bus can improve your communication between devices.","https://www.skillindiadigital.gov.in/courses/detail/2d9f95a6-19ae-4ebe-9980-69a90e015d60",null,null,null,null,null,null,null,null,null
77,"IT-ITeS","Mathematical Operations in Python","Free","00:27 hours","18+","12th Pass, ITI, Diploma","developer","English","Almost every application a developer creates involves some level of math. This module explores the core functionality in Python and arithmetic operators.","https://www.skillindiadigital.gov.in/courses/detail/aad5fe47-dbe3-471d-bf65-e0b6b0d7c476",null,null,null,null,null,null,null,null,null
78,"Telecom","Optical Fibre Technician (OFT)","Paid, Rs.199","04:00 hours","18+","11th grade pass","NA","English","The individual in this job coordinates the activities for installation and commissioning of Optical Fiber Cables (OFCs) and maintains the up-time and quality of the network segment (both optical media & equipment) by undertaking periodic preventive maintenance activities and ensuring effective fault management in case of fault occurrence.","https://www.skillindiadigital.gov.in/courses/detail/200c0367-ad8f-4ce2-8bae-aa76970ac040",null,null,null,null,null,null,null,null,null
79,"Telecom","Field Sales Executive","Paid, Rs.199","04:00 hours","18+","9th grade pass","NA","English","The individual in this job role visits customers to deliver prepaid telecom products/services to retailers. The,individual is also responsible for achieving monthly revenue target, increasing width and depth of,distribution, adhering to process compliance for new customer enrollment and increasing customer base.,Additionally, the individual may be responsible for selling broadband subscriptions.","https://www.skillindiadigital.gov.in/courses/detail/a7930c2b-0028-4299-940b-08eb2d3940dd",null,null,null,null,null,null,null,null,null
80,"Automotive","Auto Service Technician - Hindi","Free","02:26 hours","Any","Any","NA","Hindi","This course has been developed jointly by ASDC and SkillsTrainer to build and upgrade the skills of auto service technicians (four wheelers) working at automobile dealerships. By the end of this course, you will be equipped with basic knowledge about the Indian automotive sector and acquire skills to be effective as a four wheeler service technician at automobile dealerships.","https://www.skillindiadigital.gov.in/courses/detail/af5527c4-1a5a-4dee-a8bf-d384b5a09a97",null,null,null,null,null,null,null,null,null
81,"Automotive","Welding Assistant (ARC) - Hindi","Free","04:32 hours","Any","Any","NA","Hindi","The individual in this role supports the Automotive Welding Machine Operator during preparation for welding work such as bringing raw material and tools, welding activities such as machine setup, aligning workpiece, holding tools etc. and post-welding activities such as cleaning and maintenance of machine and workarea.","https://www.skillindiadigital.gov.in/courses/detail/e2609547-8da9-4a4f-bd11-3a139b9fab10",null,null,null,null,null,null,null,null,null
82,"Automotive","Welding Technician - Hindi","Free","4:28 hours","Any","Any","NA","Hindi","This role is responsible for joining various types of metallic frames, structures, jigs, plates, sheets etc using heating and melting process created through electrical power and gaseous discharge, maintaining process parameters, conducting quality checks on output product and maintaining a safe & healthy working environment on the shop floor.","https://www.skillindiadigital.gov.in/courses/detail/f7ea9758-71bb-4500-b910-631e47e4f010",null,null,null,null,null,null,null,null,null
83,"Automotive","Welding Technician","Free","04:28 hours","Any","Any","NA","English","The individual is primarily involved in all robotic and manual welding operations performed in automotive manufacturing. They use various types of welding processes such as TIG, MIG, SMAW welding etc. They support the welding technician in activities such as inspection of equipments condition, welding, gauging, testing and inspection of welded work pieces.","https://www.skillindiadigital.gov.in/courses/detail/4930b7e8-1d6b-4116-9f20-dbd05219b93c",null,null,null,null,null,null,null,null,null
84,"Automotive","Welding Assistant (TIG) - Hindi","Free","6:33 hours","Any","Any","NA","Hindi","The assistant role will be involved in performing small time routine jobs like cleaning, washing, fetching and holding tool for the operators, loading and unloading of work pieces on the welding assembly , bringing raw material and spare parts from the stores etc.","https://www.skillindiadigital.gov.in/courses/detail/da030c9b-5a99-4de8-8679-686e37a93ead",null,null,null,null,null,null,null,null,null
85,"Electronics","Solar Panel Installations Technician","Free","00:20 hours","18+","10th Pass with 2 Years Experience or 12th Pass","2 years NAC/NTC/ Relevant experience","Hindi","Solar Panel Installation Technician in this job checks the installation site, understands the layout requirement as per design, assesses precautionary measures to be taken, installs the solar panel as per customers requirement and ensures effective functioning of the system post installation.","https://www.skillindiadigital.gov.in/courses/detail/0582d12e-d615-4019-9583-aa8dbac3ffe5",null,null,null,null,null,null,null,null,null
86,"Food Industry Capacity and Skill Initiative","Rice Fortification - Hindi","Paid, Rs.200","00:23 hours","Min 18","12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate","NA","Hindi","This course encompasses National Occupational Standards (NOS) of 'Fortified Rice Technician' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A course on rice fortification aims to educate participants about the process and benefits of fortifying rice with essential nutrients. Participants will gain a comprehensive understanding of the significance of rice fortification in addressing nutrient deficiencies, particularly in regions where rice is a staple food.","https://www.skillindiadigital.gov.in/courses/detail/e5aee100-24ff-498b-acf4-d2c4ee560bfa",null,null,null,null,null,null,null,null,null
87,"IT-ITeS","Create Azure users and groups in Microsoft Entra ID","Free","00:41 hours","18+","12th Pass, ITI, Diploma","administrator,azure,entra-id","English","Learn how to create users and groups in Microsoft Entra ID.","https://www.skillindiadigital.gov.in/courses/detail/a8206444-03a6-47a7-9f35-f2fa534380c0",null,null,null,null,null,null,null,null,null
88,"Green Jobs","Biomedical Waste Management-Doctors & Administrative Staff","Free","001:48 hours","Above 18","Graduate","NA","English","This training course is designed for Doctors who serves a several important roles within the healthcare system. This specialized training equips doctors with the knowledge and skills necessary to handle and manage medical waste safely and responsibly.","https://www.skillindiadigital.gov.in/courses/detail/ec6186c9-ddc1-4fe3-ad61-110dd73054ec",null,null,null,null,null,null,null,null,null
89,"IT-ITeS","Work with Files and Directories in a .NET app","Free","00:37 hours","18+","12th Pass, ITI, Diploma","developer,dotnet","English","Learn how to use .NET, C#, and System.IO to work with directories, paths, files, and the file system.","https://www.skillindiadigital.gov.in/courses/detail/8ee43675-d39c-4a97-87a9-547d4e49cc13",null,null,null,null,null,null,null,null,null
90,"IT-ITeS","Get Started with Azure Advisor","Free","00:37 hours","18+","12th Pass, ITI, Diploma","administrator,business-owner,technology-manager,azure-advisor","English","Learn how to use Azure Advisor to optimize your Azure usage, lower costs, and increase efficiency.","https://www.skillindiadigital.gov.in/courses/detail/c7b6f8f2-fa46-42a9-a94d-93ee29f56bf5",null,null,null,null,null,null,null,null,null
91,"IT-ITeS","Fundamentals of Relational Data Concepts","Free","00:37 hours","18+","12th Pass, ITI, Diploma","data-analyst,data-engineer,database-administrator","English","Relational database systems are a common way to store and manage transactional and analytical data in organizations of any size around the world.","https://www.skillindiadigital.gov.in/courses/detail/3a392154-c51d-4c06-8725-ab7e3bd92be5",null,null,null,null,null,null,null,null,null
92,"IT-ITeS","Troubleshoot Name Resolution Issues in Microsoft Azure","Free","00:34 hours","18+","12th Pass, ITI, Diploma","network-engineer,support-engineer,azure-dns","English","Name resolution is the process of matching the name of a computer to its network address. This module looks at name resolution issues for public networks, private networks, and internal networks that connect to Azure. AZ720 AZ-720 az-720 networking","https://www.skillindiadigital.gov.in/courses/detail/1ece0088-3706-4bb9-b84b-65ea442932a2",null,null,null,null,null,null,null,null,null
93,"Tourism and Hospitality","Trainee Chef","Free","08:05 hours","Any","Any","NA","English","This course aims at building the following key competencies in learners : State their roles and responsibilities Prepare Western and Indian Mother Sauces Identify the various Kitchen Equipment and ingredients Prepare omelette, fried eggs, scrambled eggs, boiled eggs, poached eggs, sandwiches, Soups, Kitchen Stocks and Pasta and its Sauces. Cut vegetables into various shapes Cook using the dry, medium of fat and liquid methods Setup live pasta, dosa and egg counters State the occupational hazards and adopt relevant safety measures Prepare a 5-course menu","https://www.skillindiadigital.gov.in/courses/detail/51a02c81-c333-4a8e-be46-27b5ed1a3ae8",null,null,null,null,null,null,null,null,null
